Move#,From,To,Result
0,8,16,0
1,48,40,0
2,9,17,0
3,40,32,0
4,10,18,0
5,49,41,0
6,11,19,0
7,41,33,0
8,12,20,0
9,50,42,0
10,13,21,0
11,42,34,0
12,14,22,0
13,51,43,0
14,15,23,0
15,43,35,0
16,16,24,0
17,32,24,0
18,17,25,0
19,33,25,0
20,18,26,0
21,34,26,0
22,19,27,0
23,35,27,0
24,20,28,0
25,24,16,0
26,21,29,0
27,16,8,0
28,22,30,0
29,8,0,0
30,23,31,0
31,25,17,0
32,28,36,0
33,26,18,0
34,29,37,0
35,18,10,0
36,30,38,0
37,10,2,0
38,31,39,0
39,27,19,0
40,36,44,0
41,52,44,0
42,37,45,0
43,53,45,0
44,38,46,0
45,54,46,0
46,39,47,0
47,19,11,0
48,47,55,0
49,11,3,0
50,55,63,0
51,17,9,0
